Feature,Mean_Absolute_SHAP
return_lag_3,0.17360409
return_lag_5,0.08742013
return_lag_2,0.07657969
price_vs_sma_50,0.07147135
daily_return,0.066801764
price_vs_sma_20,0.05947825
atr_14,0.057448782
return_lag_10,0.057057977
bb_position,0.048161082
volatility_20,0.047916215
ma_10_20_ratio,0.04746699
volume_ratio,0.043954678
macd,0.043062475
return_lag_1,0.041226182
rsi_14,0.03866215
price_vs_sma_10,0.037432704
macd_signal,0.035169147
bb_width,0.034632638
volatility_10,0.023624852
macd_hist,0.023451395
