fold,train_start,train_end,test_year,model,accuracy,precision,recall,f1_score
1,2019-03-14,2020-12-31,2021,Logistic Regression,0.49404761904761907,0.4400399813319804,0.49404761904761907,0.417685791484999
1,2019-03-14,2020-12-31,2021,XGBoost,0.47063492063492063,0.4298800440901905,0.47063492063492063,0.4390977782705461
2,2019-03-14,2021-12-31,2022,Logistic Regression,0.34183266932270917,0.38856683040704953,0.34183266932270917,0.2746622997480018
2,2019-03-14,2021-12-31,2022,XGBoost,0.33346613545816733,0.3810438468798394,0.33346613545816733,0.28682376200341875
3,2019-03-14,2022-12-30,2023,Logistic Regression,0.4668,0.45020817048880546,0.4668,0.4001349284779876
3,2019-03-14,2022-12-30,2023,XGBoost,0.4472,0.4379190723061625,0.4472,0.41671668305486326
4,2019-03-14,2023-12-29,2024,Logistic Regression,0.4785714285714286,0.45004053140371914,0.4785714285714286,0.41399837094668673
4,2019-03-14,2023-12-29,2024,XGBoost,0.46150793650793653,0.4400401062348013,0.46150793650793653,0.42353917653141415
5,2019-03-14,2024-12-31,2025,Logistic Regression,0.46938775510204084,0.44069970537414466,0.46938775510204084,0.4216846771571699
5,2019-03-14,2024-12-31,2025,XGBoost,0.45387755102040817,0.42831282600803244,0.45387755102040817,0.4294717614925917
